Index,Gender,Programme,Grade,Total,MCQ,Q1,Q2,Q3,Q4,Q5
3,1,4,2,26,24,0,0,2,0,0
6,2,1,2,81,48,8,8,6,8,3
7,2,4,2,49,33,8,2,6,0,0
10,2,1,2,54,33,6,2,4,8,1
11,1,2,2,32,24,6,2,0,0,0
12,2,1,2,18,18,0,0,0,0,0
13,2,4,2,79,39,8,6,14,10,2
14,2,4,2,70,36,8,2,14,8,2
17,2,4,2,64,30,8,4,14,7,1
18,1,1,2,43,21,8,2,12,0,0
19,2,2,2,73,42,8,6,8,7,2
23,2,4,2,37,27,8,2,0,0,0
24,2,4,2,69,30,8,6,14,8,3
26,2,1,2,50,30,8,2,2,7,1
38,2,1,2,81,48,8,4,11,8,2
42,1,1,2,86,45,8,8,14,8,3
50,2,4,2,51,39,8,2,2,0,0
52,1,4,2,59,30,6,2,8,10,3
54,2,4,2,61,39,2,4,14,2,0
55,2,4,2,17,15,0,0,2,0,0
57,1,4,2,18,18,0,0,0,0,0
58,2,4,2,31,27,0,2,2,0,0
59,2,2,2,39,30,4,2,2,0,1
61,1,4,2,47,30,8,2,7,0,0
62,2,2,2,54,24,8,4,11,6,1
63,2,4,2,72,36,6,8,14,8,0
64,2,1,2,64,36,6,6,12,4,0
65,2,4,2,69,36,8,4,14,7,0
66,2,1,2,33,21,8,0,4,0,0
67,1,1,2,68,33,6,6,14,8,1
68,2,4,2,67,36,6,4,14,7,0
69,1,4,2,66,30,8,4,14,10,0
70,2,4,2,56,33,8,6,2,7,0
71,1,4,2,49,27,8,2,10,2,0
72,2,1,2,86,45,6,8,14,10,3
73,1,1,2,76,39,8,6,14,7,2
74,1,1,2,69,45,4,4,14,2,0
75,1,1,2,89,51,8,4,14,8,4
76,2,1,2,75,39,8,6,14,8,0
77,2,1,2,73,36,6,6,10,10,5
78,1,4,2,57,30,8,0,9,10,0
79,2,2,2,68,39,8,4,8,7,2
80,2,4,2,68,24,8,8,12,10,6
81,2,4,2,60,42,8,0,10,0,0
82,1,2,2,60,24,8,6,14,8,0
83,2,1,2,69,39,8,4,14,4,0
84,2,1,2,84,45,8,8,14,8,1
85,2,1,2,90,51,8,8,12,10,1
86,2,1,2,69,33,6,4,14,10,2
87,2,4,2,69,33,8,6,12,10,0
88,1,1,2,82,45,8,4,14,8,3
89,1,1,2,86,48,8,6,14,7,3
90,2,1,2,70,30,8,6,14,10,2
91,1,1,2,87,45,8,8,14,10,2
92,2,4,2,67,42,4,4,12,5,0
93,2,2,2,62,36,8,6,2,8,2
94,1,4,2,63,30,8,6,14,5,0
95,1,4,2,66,36,6,6,14,4,0
96,2,2,2,64,36,6,2,8,10,2
97,1,1,2,62,42,6,2,4,8,0
98,1,1,2,58,30,8,4,14,2,0
99,2,1,2,71,42,8,6,8,7,0
100,2,4,2,77,42,8,6,10,8,3
101,2,4,2,66,27,8,4,14,9,4
102,2,4,2,55,24,8,2,14,5,2
103,2,1,2,81,42,8,6,14,7,4
104,2,2,2,55,30,8,4,8,5,0
105,1,4,2,64,36,6,4,14,4,0
106,2,2,2,36,24,6,4,2,0,0
107,2,1,2,59,36,6,4,6,7,0
108,2,4,2,54,27,4,4,14,4,1
109,2,1,2,90,51,8,6,14,7,4
110,2,2,2,63,39,8,4,8,4,0
111,1,1,2,84,45,8,6,14,8,3
112,2,2,2,53,30,4,0,13,6,0
113,2,2,2,55,27,6,6,12,4,0
114,2,1,2,79,42,8,4,14,10,1
115,2,1,2,88,48,8,8,12,10,2
116,1,1,2,83,48,6,2,14,10,3
117,2,4,2,62,36,4,4,6,10,2
118,2,1,2,91,51,8,6,14,10,2
119,2,1,2,69,36,8,2,14,7,2
120,2,2,2,68,30,8,6,14,10,0
121,2,2,2,55,33,2,2,14,4,0
122,1,1,2,82,45,8,6,14,8,1
123,2,2,2,56,27,8,2,14,5,0
124,2,1,2,87,45,8,6,14,10,4
125,1,1,2,72,36,6,6,14,8,2
126,2,1,2,80,39,8,6,14,10,3
127,2,1,2,81,39,6,6,14,10,6
128,2,1,2,85,45,8,8,12,8,4
129,1,4,2,78,39,8,4,14,9,4
130,2,1,2,64,33,8,2,14,7,0
131,1,4,2,92,48,6,8,14,10,6
132,2,1,2,54,36,6,4,8,0,0
133,2,1,2,63,30,8,2,4,7,2
134,2,4,2,68,36,4,4,14,8,2
135,2,4,2,69,42,6,4,7,8,2
136,2,1,2,57,30,4,4,8,9,2
137,1,4,2,56,36,8,0,3,7,2
138,2,4,2,69,51,8,2,8,0,0
139,2,2,2,71,39,8,6,8,10,0
140,1,2,2,48,24,6,0,10,8,0
141,1,1,2,78,42,8,4,14,10,0
142,2,2,2,30,24,0,2,4,0,0
143,2,1,2,54,30,8,2,5,7,2
144,1,4,2,73,45,6,6,12,3,1
145,2,1,2,56,27,6,4,14,5,0
146,2,2,2,54,30,8,2,12,2,0
147,2,1,2,59,39,0,4,4,10,2
148,1,1,2,82,45,7,8,14,8,0
149,2,1,2,80,45,8,4,14,7,2
150,2,1,2,75,42,8,4,12,7,2
151,2,1,2,54,27,8,0,14,4,1
152,2,1,2,82,42,8,6,14,10,2
153,2,4,2,55,30,6,0,14,2,3
154,2,1,2,66,36,6,2,12,8,2
155,1,1,2,79,42,8,6,14,9,2
156,2,1,2,49,21,6,2,8,10,2
157,2,1,2,69,45,8,2,14,0,0
158,2,2,2,58,36,0,4,14,2,2
159,2,1,2,73,36,8,4,14,9,2
160,2,1,2,75,42,8,6,12,7,0
161,2,1,2,73,39,4,4,14,10,2
162,2,1,2,89,45,8,6,14,10,6
163,2,1,2,88,51,8,6,14,8,1
164,1,1,2,54,24,8,4,14,4,0
165,1,1,2,47,27,8,2,2,8,0
166,2,1,2,73,30,8,8,14,9,4
167,2,4,2,49,27,8,0,14,0,0
168,2,1,2,73,39,8,4,14,8,0
