Programme,MCQ,Q1,Q2,Q3,Q4,Q5
4,24,0,0,2,0,0
1,48,8,8,6,8,3
4,33,8,2,6,0,0
1,33,6,2,4,8,1
2,24,6,2,0,0,0
1,18,0,0,0,0,0
4,39,8,6,14,10,2
4,36,8,2,14,8,2
4,30,8,4,14,7,1
1,21,8,2,12,0,0
2,42,8,6,8,7,2
4,27,8,2,0,0,0
4,30,8,6,14,8,3
1,30,8,2,2,7,1
1,48,8,4,11,8,2
1,45,8,8,14,8,3
4,39,8,2,2,0,0
4,30,6,2,8,10,3
4,39,2,4,14,2,0
4,15,0,0,2,0,0
4,18,0,0,0,0,0
4,27,0,2,2,0,0
2,30,4,2,2,0,1
4,30,8,2,7,0,0
2,24,8,4,11,6,1
4,36,6,8,14,8,0
1,36,6,6,12,4,0
4,36,8,4,14,7,0
1,21,8,0,4,0,0
1,33,6,6,14,8,1
4,36,6,4,14,7,0
4,30,8,4,14,10,0
4,33,8,6,2,7,0
4,27,8,2,10,2,0
1,45,6,8,14,10,3
1,39,8,6,14,7,2
1,45,4,4,14,2,0
1,51,8,4,14,8,4
1,39,8,6,14,8,0
1,36,6,6,10,10,5
4,30,8,0,9,10,0
2,39,8,4,8,7,2
4,24,8,8,12,10,6
4,42,8,0,10,0,0
2,24,8,6,14,8,0
1,39,8,4,14,4,0
1,45,8,8,14,8,1
1,51,8,8,12,10,1
1,33,6,4,14,10,2
4,33,8,6,12,10,0
1,45,8,4,14,8,3
1,48,8,6,14,7,3
1,30,8,6,14,10,2
1,45,8,8,14,10,2
4,42,4,4,12,5,0
2,36,8,6,2,8,2
4,30,8,6,14,5,0
4,36,6,6,14,4,0
2,36,6,2,8,10,2
1,42,6,2,4,8,0
1,30,8,4,14,2,0
1,42,8,6,8,7,0
4,42,8,6,10,8,3
4,27,8,4,14,9,4
4,24,8,2,14,5,2
1,42,8,6,14,7,4
2,30,8,4,8,5,0
4,36,6,4,14,4,0
2,24,6,4,2,0,0
1,36,6,4,6,7,0
4,27,4,4,14,4,1
1,51,8,6,14,7,4
2,39,8,4,8,4,0
1,45,8,6,14,8,3
2,30,4,0,13,6,0
2,27,6,6,12,4,0
1,42,8,4,14,10,1
1,48,8,8,12,10,2
1,48,6,2,14,10,3
4,36,4,4,6,10,2
1,51,8,6,14,10,2
1,36,8,2,14,7,2
2,30,8,6,14,10,0
2,33,2,2,14,4,0
1,45,8,6,14,8,1
2,27,8,2,14,5,0
1,45,8,6,14,10,4
1,36,6,6,14,8,2
1,39,8,6,14,10,3
1,39,6,6,14,10,6
1,45,8,8,12,8,4
4,39,8,4,14,9,4
1,33,8,2,14,7,0
4,48,6,8,14,10,6
1,36,6,4,8,0,0
1,30,8,2,4,7,2
4,36,4,4,14,8,2
4,42,6,4,7,8,2
1,30,4,4,8,9,2
4,36,8,0,3,7,2
4,51,8,2,8,0,0
2,39,8,6,8,10,0
2,24,6,0,10,8,0
1,42,8,4,14,10,0
2,24,0,2,4,0,0
1,30,8,2,5,7,2
4,45,6,6,12,3,1
1,27,6,4,14,5,0
2,30,8,2,12,2,0
1,39,0,4,4,10,2
1,45,7,8,14,8,0
1,45,8,4,14,7,2
1,42,8,4,12,7,2
1,27,8,0,14,4,1
1,42,8,6,14,10,2
4,30,6,0,14,2,3
1,36,6,2,12,8,2
1,42,8,6,14,9,2
1,21,6,2,8,10,2
1,45,8,2,14,0,0
2,36,0,4,14,2,2
1,36,8,4,14,9,2
1,42,8,6,12,7,0
1,39,4,4,14,10,2
1,45,8,6,14,10,6
1,51,8,6,14,8,1
1,24,8,4,14,4,0
1,27,8,2,2,8,0
1,30,8,8,14,9,4
4,27,8,0,14,0,0
1,39,8,4,14,8,0
2,24,0,6,14,5,0
1,36,6,6,14,10,2
4,36,8,6,8,10,2
4,36,6,8,10,6,2
1,36,8,2,14,8,0
4,21,6,6,4,4,0
1,45,8,6,14,7,2
1,33,8,8,14,8,3
1,33,8,2,14,8,1
2,45,8,4,8,7,0
1,33,6,8,14,8,2
4,45,8,4,14,8,0
1,51,8,4,12,10,2
1,33,6,6,12,8,2
1,39,8,6,14,10,0
1,42,8,6,14,6,2
1,39,6,4,14,8,2
1,30,8,4,14,2,4
2,39,8,6,8,2,2
1,45,8,6,14,8,2
1,33,8,4,14,7,0
1,54,8,8,14,10,4
4,54,8,6,10,8,1
1,54,8,8,14,10,2
4,30,8,2,9,0,0
2,36,6,2,12,0,1
2,18,8,0,14,2,0
2,33,8,0,2,0,1
1,33,8,6,6,10,1
4,27,8,2,6,0,0
1,36,8,8,14,7,1
2,21,8,4,13,10,0
1,42,8,6,14,3,6
1,36,8,2,4,10,2
1,39,8,2,12,7,4
1,33,6,2,14,7,2
1,45,8,6,11,7,3
1,39,8,2,14,7,2
4,27,8,0,14,8,0
4,27,8,4,4,5,2
4,36,6,2,4,10,0
1,42,8,4,14,10,2
4,33,8,2,10,10,1
1,45,8,8,14,10,2
2,36,8,4,10,10,3
4,24,8,0,4,0,0
1,42,6,4,10,0,2
2,30,8,4,14,10,0
1,39,6,6,12,10,2
1,30,8,4,12,10,3
2,42,8,6,7,5,0
1,33,8,6,14,8,4
4,36,8,4,8,0,0
1,39,4,4,14,0,0
