Gender,Programme,Total,MCQ,Q1,Q2,Q3,Q4,Q5
1,4,26,24,0,0,2,0,0
2,1,81,48,8,8,6,8,3
2,4,49,33,8,2,6,0,0
2,1,54,33,6,2,4,8,1
1,2,32,24,6,2,0,0,0
2,1,18,18,0,0,0,0,0
2,4,79,39,8,6,14,10,2
2,4,70,36,8,2,14,8,2
2,4,64,30,8,4,14,7,1
1,1,43,21,8,2,12,0,0
2,2,73,42,8,6,8,7,2
2,4,37,27,8,2,0,0,0
2,4,69,30,8,6,14,8,3
2,1,50,30,8,2,2,7,1
2,1,81,48,8,4,11,8,2
1,1,86,45,8,8,14,8,3
2,4,51,39,8,2,2,0,0
1,4,59,30,6,2,8,10,3
2,4,61,39,2,4,14,2,0
2,4,17,15,0,0,2,0,0
1,4,18,18,0,0,0,0,0
2,4,31,27,0,2,2,0,0
2,2,39,30,4,2,2,0,1
1,4,47,30,8,2,7,0,0
2,2,54,24,8,4,11,6,1
2,4,72,36,6,8,14,8,0
2,1,64,36,6,6,12,4,0
2,4,69,36,8,4,14,7,0
2,1,33,21,8,0,4,0,0
1,1,68,33,6,6,14,8,1
2,4,67,36,6,4,14,7,0
1,4,66,30,8,4,14,10,0
2,4,56,33,8,6,2,7,0
1,4,49,27,8,2,10,2,0
2,1,86,45,6,8,14,10,3
1,1,76,39,8,6,14,7,2
1,1,69,45,4,4,14,2,0
1,1,89,51,8,4,14,8,4
2,1,75,39,8,6,14,8,0
2,1,73,36,6,6,10,10,5
1,4,57,30,8,0,9,10,0
2,2,68,39,8,4,8,7,2
2,4,68,24,8,8,12,10,6
2,4,60,42,8,0,10,0,0
1,2,60,24,8,6,14,8,0
2,1,69,39,8,4,14,4,0
2,1,84,45,8,8,14,8,1
2,1,90,51,8,8,12,10,1
2,1,69,33,6,4,14,10,2
2,4,69,33,8,6,12,10,0
1,1,82,45,8,4,14,8,3
1,1,86,48,8,6,14,7,3
2,1,70,30,8,6,14,10,2
1,1,87,45,8,8,14,10,2
