n,combo,best_params,accuracy
3,"('Total', 'MCQ', 'Q2')","{'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 2}",0.5885714285714285
3,"('Total', 'MCQ', 'Q3')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
3,"('Total', 'MCQ', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.5885714285714285
3,"('Total', 'Q2', 'Q3')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
3,"('Total', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
3,"('Total', 'Q3', 'Q5')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Gender', 'Total', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'MCQ', 'Q2', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'MCQ', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'MCQ', 'Q4', 'Q5')","{'max_depth': 2, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'Q1', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'Q2', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'Q2', 'Q3', 'Q5')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
4,"('Total', 'Q3', 'Q4', 'Q5')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
5,"('Gender', 'Total', 'MCQ', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
5,"('Gender', 'Total', 'Q2', 'Q3', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
5,"('Gender', 'Total', 'Q3', 'Q4', 'Q5')","{'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 2}",0.5885714285714285
5,"('Total', 'MCQ', 'Q1', 'Q2', 'Q4')","{'max_depth': 2, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.5885714285714285
