n,combo,best_params,accuracy
5,"('Gender', 'Total', 'Q1', 'Q2', 'Q3')","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.6052631578947368
4,"('Total', 'Q1', 'Q2', 'Q3')","{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5789473684210527
5,"('MCQ', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
3,"('Gender', 'MCQ', 'Q3')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5723684210526315
5,"('Gender', 'MCQ', 'Q1', 'Q4', 'Q5')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
5,"('MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5723684210526315
6,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
3,"('Gender', 'MCQ', 'Q1')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
3,"('Total', 'Q1', 'Q3')","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
3,"('Total', 'Q1', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
3,"('MCQ', 'Q1', 'Q3')","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
4,"('Gender', 'Total', 'Q1', 'Q5')","{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Gender', 'MCQ', 'Q2', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
4,"('Gender', 'MCQ', 'Q3', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5657894736842105
4,"('Gender', 'MCQ', 'Q4', 'Q5')","{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
4,"('Total', 'MCQ', 'Q1', 'Q3')","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",0.5657894736842105
4,"('Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'linear'}",0.5657894736842105
5,"('Total', 'MCQ', 'Q1', 'Q4', 'Q5')","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
5,"('Total', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.5657894736842105
3,"('Total', 'MCQ', 'Q1')","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.5592105263157895
3,"('Total', 'Q3', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('Gender', 'Total', 'MCQ', 'Q1')","{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('Gender', 'Total', 'Q1', 'Q3')","{'C': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
4,"('Gender', 'Total', 'Q1', 'Q4')","{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
4,"('Gender', 'Total', 'Q4', 'Q5')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
4,"('Gender', 'MCQ', 'Q1', 'Q3')","{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5592105263157895
5,"('Gender', 'Total', 'MCQ', 'Q1', 'Q4')","{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
5,"('MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5592105263157895
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q4')","{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.5592105263157895
6,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5592105263157895
